Gene	Expression
Actc1	Yes
Actn2	Yes
Adk	Yes
Ankrd1	Yes
App	Yes
Asb2	Yes
Atp1a1	Yes
Atp1b1	Yes
Atp2a2	Yes
Atp5o	Yes
Atp6v0e	Yes
Bace2	Yes
Bves	Yes
Cap2	Yes
Cbx5	Yes
Col1a1	Yes
Col3a1	Yes
Col18a1	Yes
Cpt1b	Yes
Csnk1a1	Yes
Csrp3	Yes
Ctnna1	Yes
Ctnnb1	Yes
Ctnnd1	Yes
Dcn	Yes
Ddc	Yes
Des	Yes
Fhl2	Yes
Gata4	Yes
Gata6	Yes
Gja1	Yes
Gja5	Yes
Hand2	Yes
Hey2	Yes
Hif1a	Yes
Hmgn1	Yes
Hopx	Yes
Igf2	Yes
Igf2r	Yes
Ldb2	Yes
Ldb3	Yes
Lims1	Yes
Lmo7	Yes
Lmod2	Yes
Lpl	Yes
Lrrc10	Yes
Mb	Yes
Mdh1	Yes
Mki67	Yes
Mmadhc	Yes
Mtus1	Yes
Mybpc3	Yes
Myh6	Yes
Myh7	Yes
Myl2	Yes
Myl4	Yes
Myl9	Yes
Myom1	Yes
Ndufa10	Yes
Nkx2-5	Yes
Nppb	Yes
Pafah1b1	Yes
Palld	Yes
Parva	Yes
Pdk1	Yes
Pln	Yes
Postn	Yes
Ppp1r14c	Yes
Ppp2r3a	Yes
Prkar1a	Yes
Pygm	Yes
Qk	Yes
Rbm24	Yes
Rbpms	Yes
Ryr2	Yes
Sdpr	Yes
Sept7	Yes
Sfrp1	Yes
Slc8a1	Yes
Smyd1	Yes
Smyd2	Yes
Sorbs2	Yes
Sox4	Yes
Sulf2	Yes
Synpo2l	Yes
Tab2	Yes
Tbx20	Yes
Tcap	Yes
Tead1	Yes
Tenm1	Yes
Tmpo	Yes
Tmsb4x	Yes
Tns1	Yes
Tpm1	Yes
Ttn	Yes
Txndc5	Yes
