gene	phenotype
Actc1	heart defect
Ankrd1	heart defect
Anxa6	heart defect
App	heart defect
Atp1a1	heart defect
Atp1b1	heart defect
Atp2a2	heart defect
Bves	heart defect
Cap2	heart defect
Casq2	heart defect
Cav3	heart defect
Col18a1	heart defect
Col1a1	heart defect
Col3a1	heart defect
Csnk1a1	heart defect
Csrp2	heart defect
Csrp3	heart defect
Ctnna1	heart defect
Ctnnb1	heart defect
Dcn	heart defect
Ddc	heart defect
Des	heart defect
Fhl2	heart defect
Gata4	heart defect
Gata6	heart defect
Gja1	heart defect
Gja5	heart defect
Hand2	heart defect
Hey2	heart defect
Hif1a	heart defect
Hopx	heart defect
Igf2	heart defect
Igf2r	heart defect
Jph2	heart defect
Ldb3	heart defect
Lims1	heart defect
Lmo7	heart defect
Lmod2	heart defect
Lpl	heart defect
Mb	heart defect
Mtus1	heart defect
Mybpc3	heart defect
Myh6	heart defect
Myh7	heart defect
Myl2	heart defect
Myoz2	heart defect
Nkx2-5	heart defect
Nppb	heart defect
Palld	heart defect
Parva	heart defect
Pdlim3	heart defect
Pln	heart defect
Postn	heart defect
Ppp1r3c	heart defect
Prkar1a	heart defect
Pygm	heart defect
Qk	heart defect
Ryr2	heart defect
Sdpr	heart defect
Sfrp1	heart defect
Slc8a1	heart defect
Smyd1	heart defect
Smyd2	heart defect
Sorbs2	heart defect
Sox4	heart defect
Sptbn1	heart defect
Srl	heart defect
Stk39	heart defect
Tab2	heart defect
Tbx20	heart defect
Tcap	heart defect
Tead1	heart defect
Tmsb4x	heart defect
Tns1	heart defect
Tpm1	heart defect
Trim55	heart defect
Trim63	heart defect
Ttn	heart defect
Txndc5	heart defect
Vcan	heart defect
