#node1	node2
Ctnna1	Ctnnb1
Gata4	Nkx2-5
Ttn	Tcap
Ttn	Actn2
Rpl14	Rps24
Col3a1	Col1a1
Pln	Atp2a2
Ctnnd1	Ctnna1
Myh6	Myl2
Igf2	Igf2r
Csrp3	Tcap
Csnk1a1	Ctnnb1
Atp1a1	Atp1b1
Myh7	Myl2
Ttn	Myl2
Myh6	Actn2
Actc1	Myh6
Gata4	Hand2
Actc1	Tpm1
Igf2	Igfbp5
Actn2	Tpm1
Rpl14	Gnb2l1
Hand2	Nkx2-5
Actn2	Tcap
Rps24	Gnb2l1
Myh6	Tpm1
Myh7	Actc1
Actn2	Myl2
Tpm1	Myl2
Lrrfip1	Ctnnb1
Dync1i2	Pafah1b1
Actc1	Myl2
Actn2	Ctnna1
Mybpc3	Myl2
Myl2	Tcap
Ttn	Myh6
Actn2	Ldb3
Ttn	Trim63
Myoz2	Tcap
Mybpc3	Myh6
Actn2	Myoz2
Myl9	Tpm1
Mybpc3	Ttn
Gata4	Gata6
Tpm1	Tcap
Myh6	Tcap
Ttn	Tpm1
Myh6	Myl4
Actn2	Des
Ttn	Des
Postn	Col1a1
Nkx2-5	Myl2
Vcan	Dcn
Tpm1	Des
Cald1	Myl9
Des	Tcap
Des	Myl2
Tpm1	Myl12b
Mybpc3	Tpm1
Actn2	Spnb2
Cald1	Tpm1
Csrp3	Myoz2
Myh6	Des
Ctnnd1	Ctnnb1
Myoz2	Ldb3
Mybpc3	Tcap
Actn2	Myl4
Mybpc3	Actn2
Tpm1	Myl4
Dync1i2	Dctn6
Col18a1	Col3a1
Mybpc3	Des
Ttn	Myl4
Myl4	Myl2
Col18a1	Col1a1
Actc1	Myl4
Des	Myl4
Myl9	Myl12b
Cald1	Myl12b
Gata4	Gja5
Actc1	Actn2
Myl4	Tcap
Casq2	Ryr2
Gata4	Myl2
Mybpc3	Myh7
Mybpc3	Myl4
Csrp3	Ldb3
Actn2	App
Tmsb4x	Actn2
Tmsb4x	App
Igf2	Actn2
Rpl14	Ssr3
Igf2	Tmsb4x
Rps24	Ssr3
Igf2	App
Gata4	Hey2
Myh7	Tpm1
Gata6	Nkx2-5
Csrp3	Myl2
Gata6	Hey2
Parva	Lims1
Csrp3	Mb
Itga5	Col1a1
Col3a1	Itga5
Myh6	Pln
Atp2a2	Ryr2
Cav3	Gja1
Ldb3	Tcap
Hif1a	Gnb2l1
Col3a1	Postn
Fhl2	Ctnnb1
Ttn	Ldb3
Myh6	Csrp3
Slc8a1	Atp1a1
Actn2	Csrp3
Myh7	Actn2
Ppp2r3a	Ryr2
Parva	Itga5
Casq2	Ankrd1
Mb	Tcap
Gata4	Actc1
Ttn	Csrp3
Ttn	Myoz2
Dcn	Lpl
Gata4	Tbx20
Actn2	Itga5
Lmo7	Actn2
Pln	Ldb3
Myh6	Myom1
Tbx20	Nkx2-5
Myh6	Nkx2-5
Actc1	Csrp3
Gja1	Ctnnb1
Ankrd1	Nkx2-5
Tns1	Ctnna1
Gata4	Myh6
Mybpc3	Nppb
Actc1	Cap2
Dcn	Col3a1
Myoz2	Mb
Psmd7	Rad23b
Col18a1	Itga5
Atp2a2	Myl2
Ldb3	Mb
Myh7	Atp2a2
Gja5	Nkx2-5
Myh6	Ldb3
Tpm1	Csrp3
Myoz2	Myl2
Pln	Ryr2
Ttn	Ankrd1
Srl	Ldb3
Tns1	Actn2
Gja1	Ctnnd1
Ttn	Srl
Myh6	Ryr2
Myh7	Myoz2
Ttn	Myom1
Gja1	Nkx2-5
Sept7	Srsf7
Ttn	Mb
Tns1	Parva
Grb10	Igf2r
Csrp3	Lmod2
Myh7	Csrp3
Actn2	Srl
Cav3	Ryr2
Hand2	Hey2
Casq2	Srl
Lmod2	Tcap
Atp2a2	Srl
Ttn	Lmod2
Actn2	Mb
Pln	Casq2
Mybpc3	Myom1
Myh6	Atp2a2
Hspa9	Vdac3
Lrrc10	Prkar1a
Dcn	Prkar1a
Actn2	Pygm
Trim63	Tcap
Ttn	Actc1
Myoz2	Casq2
Myh6	Myoz2
Myh7	Tead1
Csrp3	Ankrd1
Hif1a	Ctnnb1
Actc1	Ldb3
Actn2	Ctnnb1
Dctn6	Pafah1b1
Csrp3	Srl
Casq2	Myl2
Myh6	Casq2
Tpm1	Ldb3
Atp2a2	Casq2
Atp5o	Vdac3
Lmod2	Ldb3
Myh7	Myl9
Lmod2	Myoz2
Ttn	Pln
Ankrd1	Ldb3
Ttn	Myl12b
Ttn	Myl9
Myom1	Ldb3
Ttn	Myl12a
Actc1	Myoz2
Ldb3	Myl2
Myh7	Myl12b
Lmnb1	Tmpo
Gata4	Myh7
Ndufa10	Atp5o
Ttn	Casq2
Gata4	Gja1
Actn2	Mlip
Pygm	Ldb3
Id2	Ctnnb1
Pygm	Tcap
Myh7	Tcap
Csrp3	Atp2a2
Trim55	Tcap
Cox8b	Mb
Mb	Myl2
Myl9	Myh6
Myom1	Actn2
Myh6	Lmod2
Pygm	Srl
Lmo7	Ldb3
Myh6	Myl12b
Myh7	Myl12a
Myh6	Myl12a
Ldb3	Lims1
Myh7	Nkx2-5
Tns1	Actc1
Lmod2	Myl2
Myh7	Myom1
Pln	Myoz2
Sae1	Psmd7
Tpm1	Srl
Srsf7	Trim55
Igf2	Ctnnb1
Gja5	Tbx20
Myoz2	Srl
Sfrp1	Ctnnb1
Vcan	Ctnnb1
Myh6	Srl
Csrp3	Casq2
Pln	Csrp3
Mybpc3	Actc1
Dcn	Col1a1
Cav3	Tcap
Srl	Tcap
Actn2	Pdlim3
Cav3	Srl
Mybpc3	Pln
Actn2	Atp2a2
Tns1	Lims1
Actn2	Casq2
Hand2	Gata6
Actc1	Nkx2-5
Myom1	Tcap
Srl	Myl2
Myh6	Unc45b
Cbx5	Adnp
Trim63	Csrp3
