Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0001544	abnormal cardiovascular system physiology
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0000278	abnormal myocardial fiber morphology
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0004215	abnormal myocardial fiber physiology
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0004090	abnormal sarcomere morphology
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0003141	cardiac fibrosis
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0001265	decreased body size
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0005140	decreased cardiac muscle contractility
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0010394	decreased QRS amplitude
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0012082	delayed heart development
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002795	dilated cardiomyopathy
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002753	dilated heart left ventricle
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002190	disorganized myocardium
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002190	disorganized myocardium
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0000274	enlarged heart
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0003222	increased cardiomyocyte apoptosis
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002626	increased heart rate
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002833	increased heart weight
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0000749	muscle degeneration
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0004566	myocardial fiber degeneration
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002169	no abnormal phenotype detected
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0011085	postnatal lethality, complete penetrance
Actc1	current symbol	MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	MP:0002083	premature death
Actn2	current symbol	MGI:109192	Actn2	actinin alpha 2	protein coding gene	
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001777	abnormal body temperature homeostasis
