MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:87905	Actc1	actin, alpha, cardiac muscle 1	protein coding gene	2	114047282-114053548	57.55	-	
MGI:109192	Actn2	actinin alpha 2	protein coding gene	13	12269426-12340760	4.54	-	
MGI:87930	Adk	adenosine kinase	protein coding gene	14	21052574-21448568	11.58	+	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	19	36111965-36119844	30.52	-	
MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	16	84954440-85173707	46.92	-	
MGI:1929743	Asb2	ankyrin repeat and SOCS box-containing 2	protein coding gene	12	103321142-103356001	52.9	-	
MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	3	101576219-101604684	44.3	-	
MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein coding gene	1	164437109-164458355	71.75	-	
MGI:88110	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	protein coding gene	5	122453513-122502225	62.38	-	
MGI:106341	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein coding gene	16	91684398-91931687	53.26	-	
MGI:1328318	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E	protein coding gene	17	26676396-26699644	13.46	+	
MGI:1860440	Bace2	beta-site APP-cleaving enzyme 2	protein coding gene	16	97356728-97439012	57.4	+	
MGI:1346013	Bves	blood vessel epicardial substance	protein coding gene	10	45335762-45369708	23.47	+	
MGI:1914502	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	protein coding gene	13	46501848-46649642	23.83	+	
MGI:109372	Cbx5	chromobox 5	protein coding gene	15	103191544-103239816	58.34	-	
MGI:88467	Col1a1	collagen, type I, alpha 1	protein coding gene	11	94936224-94953042	59.01	+	
MGI:88453	Col3a1	collagen, type III, alpha 1	protein coding gene	1	45311538-45349706	23.67	+	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	protein coding gene	10	77052178-77166548	39.72	-	
MGI:1098297	Cpt1b	carnitine palmitoyltransferase 1b, muscle	protein coding gene	15	89416405-89425863	44.89	-	
MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	protein coding gene	18	61555274-61590061	34.62	+	
MGI:1330824	Csrp3	cysteine and glycine-rich protein 3	protein coding gene	7	48830398-48848033	31.11	-	
MGI:88274	Ctnna1	catenin (cadherin associated protein), alpha 1	protein coding gene	18	35118912-35254775	18.89	+	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	protein coding gene	9	120929216-120960507	72.19	+	
MGI:105100	Ctnnd1	catenin (cadherin associated protein), delta 1	protein coding gene	2	84600071-84650765	49.45	-	
MGI:94872	Dcn	decorin	protein coding gene	10	97479500-97518162	50.27	+	
MGI:94876	Ddc	dopa decarboxylase	protein coding gene	11	11814101-11898044	7.09	-	
MGI:94885	Des	desmin	protein coding gene	1	75360329-75368579	38.85	+	
MGI:1338762	Fhl2	four and a half LIM domains 2	protein coding gene	1	43123074-43196984	22.33	-	
MGI:95664	Gata4	GATA binding protein 4	protein coding gene	14	63198922-63271692	33.24	-	
MGI:107516	Gata6	GATA binding protein 6	protein coding gene	18	11052510-11085635	5.63	+	
MGI:95713	Gja1	gap junction protein, alpha 1	protein coding gene	10	56377300-56390419	28.64	+	
MGI:95716	Gja5	gap junction protein, alpha 5	protein coding gene	3	96904693-97077416	42.04	+	
MGI:103580	Hand2	heart and neural crest derivatives expressed transcript 2	protein coding gene	8	57320983-57324633	29.8	+	
MGI:1341884	Hey2	hairy/enhancer-of-split related with YRPW motif 2	protein coding gene	10	30832359-30842801	17.19	-	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	protein coding gene	12	73901375-73947530	31.99	+	
MGI:96120	Hmgn1	high mobility group nucleosomal binding domain 1	protein coding gene	16	96120618-96127729	56.83	-	
MGI:1916782	Hopx	HOP homeobox	protein coding gene	5	77086988-77115121	41.45	-	
MGI:96434	Igf2	insulin-like growth factor 2	protein coding gene	7	142650766-142666816	87.99	-	
MGI:96435	Igf2r	insulin-like growth factor 2 receptor	protein coding gene	17	12682406-12769664	8.64	-	
MGI:894670	Ldb2	LIM domain binding 2	protein coding gene	5	44472132-44799680	24.24	-	
MGI:1344412	Ldb3	LIM domain binding 3	protein coding gene	14	34526699-34588681	20.83	-	
MGI:1195263	Lims1	LIM and senescent cell antigen-like domains 1	protein coding gene	10	58323466-58424691	29.31	+	
MGI:1353586	Lmo7	LIM domain only 7	protein coding gene	14	101729957-101934710	50.9	+	
MGI:2135672	Lmod2	leiomodin 2 (cardiac)	protein coding gene	6	24597762-24605414	11.28	+	
MGI:96820	Lpl	lipoprotein lipase	protein coding gene	8	68880491-68907448	33.88	+	
