gene_id	bundle_id	chr	left	right	FPKM	FPKM_conf_lo	FPKM_conf_hi		chr	left	right	FPKM	FPKM_avg
NM_001011874	2229273	chr1	3204562	3661579	0.21056	0.0980111	0.32311		chr1	3204562	3661579	0.103901	0.1572305
NM_011441	2229523	chr1	4481008	4486494	0.87309	0.626143	1.12004		chr1	4481008	4486494	1.34417	1.10863
NM_025300	2229819	chr1	4764014	4775768	10.2566	8.85595	11.6572		chr1	4764014	4775768	9.10785	9.682225
NM_008866	2229831	chr1	4797973	4836816	14.2434	13.1121	15.3747		chr1	4797973	4836816	14.2517	14.24755
NM_001159750	2229863	chr1	4847774	4887987	7.27745	5.11854	9.43637		chr1	4847774	4887987	6.62907	6.95326
NM_001159751	2229863	chr1	4848408	4887987	2.0038	1.42493	2.58266		chr1	4848408	4887987	0.00643853	1.005119265
NM_133826	2229953	chr1	5073253	5152630	6.99789	6.11798	7.8778		chr1	5073253	5152630	7.61592	7.306905
NM_009826	2230815	chr1	6204742	6266185	5.4047	4.99519	5.8142		chr1	6204742	6266185	5.53249	5.468595
NM_183028	2231139	chr1	7079000	7163709	5.4285	4.95223	5.90477		chr1	7079000	7163709	6.19055	5.809525
NM_027671	2231795	chr1	8352741	9289811	0.182489	0.0849445	0.280034		chr1	8352741	9289811	0.141505	0.161997
NM_021511	2232025	chr1	9535488	9537535	3.76789	3.13353	4.40225		chr1	9535488	9537535	4.67934	4.223615
NR_015470	2232029	chr1	9550915	9621173	0.545263	0.432348	0.658177		chr1	9550915	9621173	0.299535	0.422399
NM_178399	2232029	chr1	9591347	9617223	0.102897	0.018882	0.186912		chr1	9591347	9617223	0.0846239	0.09376045
NM_008651	2232047	chr1	9658915	9690290	1.82697	1.49201	2.16192		chr1	9658915	9690290	1.46969	1.64833
NM_173443	2232103	chr1	9713277	9738463	4.44723	4.01374	4.88072		chr1	9713277	9738463	4.83723	4.64223
NM_177722	2232185	chr1	9898718	9931035	0.0214083	0	0.064225		chr1	9898718	9931035	0.0845112	0.05295975
NR_024067	2232193	chr1	9932105	9934199	26.5891	22.8099	30.3684		chr1	9932105	9934199	18.4876	22.53835
NM_013715	2232259	chr1	10014911	10027979	26.5757	24.4102	28.7411		chr1	10014911	10027979	27.5773	27.0765
NM_026493	2232261	chr1	10028298	10126849	3.53364	3.11241	3.95486		chr1	10028298	10126849	3.74128	3.63746
NM_001102430	2232269	chr1	10127587	10222751	7.7959	7.30394	8.28787		chr1	10127587	10222751	9.96864	8.88227
NM_029525	2232405	chr1	10983545	11293763	0.861219	0.734136	0.988302		chr1	10983545	11293763	1.4291	1.1451595
NM_001033636	2232405	chr1	11254043	11293763	0.755146	0.635912	0.87438		chr1	11254043	11293763	0.596857	0.6760015
NM_001160371	2232449	chr1	11404192	11591892	0.0240526	0	0.0538317		chr1	11404192	11591892	0.0157186	0.0198856
NM_177173	2232449	chr1	11404192	11965982	0.00577884	0	0.013738		chr1	11404192	11965982	0.0234967	0.01463777
NM_172294	2232835	chr1	12708625	12850453	8.17045	7.54791	8.79299		chr1	12708625	12850453	8.30915	8.2398
NM_172841	2232839	chr1	12856630	12981216	0.218339	0.14345	0.293229		chr1	12856630	12981216	0.202803	0.210571
NM_001081209	2232889	chr1	13103508	13117244	0.0210781	0	0.0632342		chr1	13103508	13117244	0.0208019	0.02094
NM_008678	2232901	chr1	13129239	13364164	5.51658	5.13338	5.89979		chr1	13129239	13364164	7.43741	6.476995
NM_028173	2233039	chr1	13554782	13579945	16.02	14.9188	17.1212		chr1	13554782	13579945	16.884	16.452
NM_145381	2233097	chr1	13615979	13650590	3.29716	2.67926	3.91505		chr1	13615979	13650590	2.75659	3.026875
NR_004447	2233131	chr1	13775765	13777010	0.0439	0	0.1317		chr1	13775765	13777010	0.117171	0.0805355
NM_010164	2233215	chr1	14159038	14300280	0.15147	0.0640188	0.238921		chr1	14159038	14300280	0.249142	0.200306
NM_010827	2233325	chr1	14743428	14746047	0.414298	0.184487	0.644109		chr1	14743428	14746047	0.408869	0.4115835
NM_177781	2233385	chr1	14862728	14908943	0.128209	0.0471225	0.209295		chr1	14862728	14908943	0.240405	0.184307
NM_001098528	2233505	chr1	15302532	15704295	0.102949	0.0378382	0.168059		chr1	15302532	15704295	0.0711198	0.0870344
NM_009352	2233561	chr1	15795738	15833510	4.71918	3.92433	5.51403		chr1	15795738	15833510	4.7234	4.72129
NM_001033288	2233637	chr1	15843942	15882803	0.218781	0.0868511	0.350711		chr1	15843942	15882803	0.2748	0.2467905
NM_011291	2233743	chr1	16091375	16094514	58.3001	54.606	61.9942		chr1	16091375	16094514	50.6174	54.45875
NM_133832	2233751	chr1	16095962	16122631	1.30983	0.956592	1.66306		chr1	16095962	16122631	1.41018	1.360005
NM_025303	2233849	chr1	16218890	16509383	1.71126	0.960374	2.46214		chr1	16218890	16509383	2.11499	1.913125
NM_001111272	2233849	chr1	16218890	16509383	4.07122	2.26656	5.87587		chr1	16218890	16509383	3.76697	3.919095
NM_025773	2233981	chr1	16559486	16609367	6.58209	5.80024	7.36394		chr1	16559486	16609367	6.57606	6.579075
NM_026456	2234027	chr1	16632845	16646946	33.2858	30.5254	36.0463		chr1	16632845	16646946	30.6297	31.95775
NM_027415	2234045	chr1	16655271	16668356	11.0006	9.82124	12.18		chr1	16655271	16668356	11.6988	11.3497
NM_001159711	2234079	chr1	16678536	16699686	0.808385	0.248313	1.36846		chr1	16678536	16699686	4.323	2.5656925
NM_020604	2234371	chr1	16987544	17087879	2.14421	1.68177	2.60666		chr1	16987544	17087879	2.33758	2.240895
NM_010267	2234419	chr1	17135453	17154344	0.111258	0.0325867	0.189929		chr1	17135453	17154344	0.0549	0.083079
NM_053191	2234585	chr1	17591981	17621019	0.284253	0.189502	0.379003		chr1	17591981	17621019	0.274338	0.2792955
NM_031402	2234751	chr1	17717497	17756288	0.804961	0.595367	1.01455		chr1	17717497	17756288	0.996382	0.9006715
NM_001025305	2235247	chr1	19202134	19228815	0.00902501	0	0.027075		chr1	19202134	19228815	0.0214772	0.015251105
NM_145856	2235535	chr1	20767229	20774351	0.0465153	0	0.139546		chr1	20767229	20774351	0.229529	0.13802215
NM_008563	2235619	chr1	20793094	20810294	13.3703	12.3639	14.3767		chr1	20793094	20810294	17.3817	15.376
NM_028829	2235671	chr1	20880702	20928837	0.976874	0.75706	1.19669		chr1	20880702	20928837	1.53763	1.257252
NM_027974	2235701	chr1	20941706	20980920	0.222982	0.0743275	0.371637		chr1	20941706	20980920	0.391219	0.3071005
NM_177409	2235749	chr1	20991477	21069306	2.51651	1.88738	3.14564		chr1	20991477	21069306	2.36712	2.441815
NM_029398	2235819	chr1	21208711	21220248	0.963604	0.528349	1.39886		chr1	21208711	21220248	1.14959	1.056597
NM_010356	2235837	chr1	21230669	21255640	0.121008	0	0.260737		chr1	21230669	21255640	0.15923	0.140119
